Dates,Infected,Vaccinated,Recovered,Deaths
9/21/2020,37491.0,1718.0,20304.0,443.0
9/22/2020,37901.0,1726.0,20485.0,447.0
9/23/2020,38347.0,1740.0,20674.0,451.0
9/24/2020,38743.0,1754.0,20901.0,454.0
9/25/2020,39234.0,1766.0,21105.0,457.0
9/26/2020,39757.0,1795.0,21291.0,458.0
9/27/2020,40296.0,1811.0,21468.0,460.0
9/28/2020,40501.0,1814.0,21630.0,460.0
9/29/2020,40923.0,1832.0,21796.0,460.0
9/30/2020,41434.0,1847.0,21976.0,464.0
10/1/2020,42048.0,1859.0,22180.0,469.0
10/2/2020,42561.0,1873.0,22371.0,472.0
10/3/2020,43238.0,1893.0,22568.0,474.0
10/4/2020,43702.0,1900.0,22744.0,480.0
10/5/2020,43964.0,1903.0,22930.0,482.0
10/6/2020,44422.0,1911.0,23115.0,487.0
10/7/2020,45082.0,1932.0,23288.0,492.0
10/8/2020,45753.0,1972.0,23475.0,500.0
10/9/2020,46426.0,1997.0,23678.0,503.0
10/10/2020,47088.0,2013.0,23881.0,506.0
10/11/2020,47701.0,2031.0,24089.0,507.0
10/12/2020,48066.0,2041.0,24304.0,507.0
10/13/2020,48663.0,2058.0,24523.0,510.0
10/14/2020,49247.0,2086.0,24699.0,512.0
10/15/2020,49892.0,2122.0,24983.0,516.0
10/16/2020,50610.0,2137.0,25214.0,517.0
10/17/2020,51704.0,2174.0,25457.0,523.0
10/18/2020,52582.0,2193.0,25679.0,529.0
10/19/2020,53092.0,2206.0,25980.0,528.0
10/20/2020,53790.0,2231.0,26238.0,531.0
10/21/2020,54663.0,2277.0,26549.0,535.0
10/22/2020,55650.0,2327.0,26916.0,546.0
10/23/2020,56600.0,2363.0,27221.0,553.0
10/24/2020,57673.0,2387.0,27509.0,562.0
10/25/2020,58694.0,2409.0,27760.0,572.0
10/26/2020,59344.0,2431.0,28056.0,573.0
10/27/2020,60041.0,2447.0,28309.0,580.0
10/28/2020,60923.0,2483.0,28553.0,585.0
10/29/2020,61785.0,2514.0,28890.0,599.0
10/30/2020,62746.0,2549.0,29195.0,615.0
10/31/2020,63810.0,2572.0,29556.0,626.0
11/1/2020,64608.0,2594.0,29867.0,629.0
11/2/2020,65088.0,2615.0,30218.0,630.0
11/3/2020,65845.0,2643.0,30525.0,632.0
11/4/2020,67024.0,2691.0,30844.0,647.0
11/5/2020,68314.0,2730.0,31210.0,664.0
11/6/2020,69579.0,2788.0,31574.0,671.0
11/7/2020,70909.0,2825.0,31969.0,679.0
11/8/2020,72312.0,2870.0,32330.0,683.0
11/9/2020,72961.0,2889.0,32702.0,686.0
11/10/2020,74227.0,2926.0,33032.0,698.0
11/11/2020,75428.0,2962.0,33330.0,714.0
11/12/2020,77121.0,3002.0,33715.0,733.0
11/13/2020,78279.0,3061.0,34104.0,749.0
11/14/2020,79798.0,3102.0,34482.0,752.0
11/15/2020,81317.0,3148.0,34826.0,759.0
11/16/2020,82245.0,3168.0,35215.0,759.0
11/17/2020,83344.0,3202.0,35530.0,763.0
11/18/2020,85125.0,3254.0,35948.0,798.0
11/19/2020,86435.0,3312.0,36339.0,812.0
11/20/2020,87978.0,3403.0,36831.0,835.0
11/21/2020,89764.0,3492.0,37232.0,845.0
11/22/2020,90834.0,3585.0,37504.0,847.0
11/23/2020,91653.0,3610.0,38025.0,849.0
11/24/2020,93090.0,3682.0,38397.0,866.0
11/25/2020,94730.0,3762.0,38397.0,874.0
11/26/2020,96503.0,3817.0,39199.0,895.0
11/27/2020,96503.0,3817.0,39199.0,895.0
11/28/2020,98500.0,3878.0,39900.0,909.0
11/29/2020,99660.0,3948.0,40120.0,913.0
11/30/2020,100484.0,3978.0,40461.0,920.0
12/1/2020,101698.0,4049.0,40929.0,929.0
12/2/2020,103305.0,4135.0,41354.0,960.0
12/3/2020,104734.0,4200.0,41838.0,991.0
12/4/2020,106455.0,4271.0,42274.0,1014.0
12/5/2020,108366.0,4342.0,42671.0,1032.0
12/6/2020,109705.0,4372.0,42932.0,1032.0
12/7/2020,110510.0,4388.0,43380.0,1035.0
12/8/2020,111893.0,4448.0,43926.0,1055.0
12/9/2020,113905.0,4539.0,44314.0,1074.0
12/10/2020,116203.0,4605.0,44811.0,1103.0
12/11/2020,118028.0,4671.0,45303.0,1136.0
12/12/2020,119610.0,4719.0,45810.0,1151.0
12/13/2020,120632.0,4746.0,46247.0,1169.0
12/14/2020,121179.0,4763.0,46980.0,1175.0
12/15/2020,122217.0,4827.0,47497.0,1194.0
12/16/2020,124019.0,4908.0,48070.0,1214.0
12/17/2020,125452.0,4965.0,48752.0,1231.0
12/18/2020,126878.0,5021.0,49318.0,1259.0
12/19/2020,128218.0,5086.0,49914.0,1275.0
12/20/2020,129069.0,5121.0,50324.0,1275.0
12/21/2020,129960.0,5155.0,50950.0,1280.0
12/22/2020,130877.0,5208.0,51421.0,1301.0
12/23/2020,132594.0,5267.0,51996.0,1313.0
12/24/2020,133985.0,5316.0,52799.0,1324.0
12/25/2020,135233.0,5357.0,53535.0,1349.0
12/26/2020,135233.0,5357.0,53535.0,1349.0
12/27/2020,135787.0,5392.0,54574.0,1354.0
12/28/2020,136215.0,5425.0,55186.0,1354.0
12/29/2020,137010.0,5476.0,55959.0,1377.0
12/30/2020,138524.0,5519.0,56799.0,1393.0
12/31/2020,139864.0,5567.0,57770.0,1403.0
1/1/2021,141077.0,5630.0,58649.0,1436.0
1/2/2021,141077.0,5630.0,58649.0,1436.0
1/3/2021,142199.0,5687.0,60164.0,1448.0
1/4/2021,142507.0,5706.0,60820.0,1448.0
1/5/2021,143305.0,5745.0,61493.0,1459.0
1/6/2021,144843.0,5824.0,62215.0,1471.0
1/7/2021,146106.0,5871.0,63097.0,1488.0
1/8/2021,147173.0,5938.0,63778.0,1517.0
1/9/2021,148258.0,5995.0,64538.0,1523.0
1/10/2021,149235.0,6015.0,64785.0,1528.0
1/11/2021,149667.0,6037.0,66012.0,1534.0
1/12/2021,150239.0,6079.0,66796.0,1544.0
1/13/2021,151273.0,6128.0,67633.0,1556.0
1/14/2021,152364.0,6178.0,68657.0,1564.0
1/15/2021,153358.0,6225.0,69460.0,1591.0
1/16/2021,154470.0,6269.0,70163.0,1603.0
1/17/2021,155276.0,6295.0,70736.0,1605.0
1/18/2021,155554.0,6307.0,71374.0,1607.0
1/19/2021,155554.0,6307.0,71374.0,1607.0
1/20/2021,156778.0,6370.0,72711.0,1637.0
1/21/2021,157588.0,6406.0,73517.0,1635.0
1/22/2021,158200.0,6440.0,74269.0,1654.0
1/23/2021,158798.0,6464.0,75041.0,1667.0
1/24/2021,159325.0,6481.0,75752.0,1668.0
1/25/2021,159506.0,6496.0,76392.0,1669.0
1/26/2021,160033.0,6525.0,77351.0,1681.0
1/27/2021,160592.0,6560.0,78246.0,1688.0
1/28/2021,161212.0,6604.0,79298.0,1714.0
1/29/2021,161720.0,6629.0,80252.0,1721.0
1/30/2021,162355.0,6659.0,81034.0,1725.0
1/31/2021,162683.0,6674.0,81591.0,1725.0
2/1/2021,162683.0,6674.0,81591.0,1725.0
2/2/2021,163165.0,6702.0,82721.0,1735.0
2/3/2021,163656.0,6732.0,83336.0,1741.0
2/4/2021,164163.0,6749.0,84159.0,1748.0
2/5/2021,164565.0,6771.0,84824.0,1747.0
2/6/2021,164969.0,6785.0,85439.0,1758.0
2/7/2021,165209.0,6793.0,86078.0,1767.0
2/8/2021,165209.0,6793.0,86078.0,1767.0
2/9/2021,165658.0,6819.0,86880.0,1776.0
2/10/2021,166095.0,6839.0,87505.0,1780.0
2/11/2021,166553.0,6838.0,88126.0,1791.0
2/12/2021,166876.0,6852.0,88672.0,1791.0
2/13/2021,167225.0,6875.0,89126.0,1796.0
2/14/2021,167483.0,6890.0,89410.0,1803.0
2/15/2021,167483.0,6890.0,89410.0,1803.0
2/16/2021,167483.0,6890.0,89410.0,1803.0
2/17/2021,167945.0,6933.0,90300.0,1806.0
2/18/2021,168353.0,6947.0,90706.0,1817.0
2/19/2021,168639.0,6964.0,91241.0,1826.0
2/20/2021,168953.0,6973.0,91637.0,1826.0
2/21/2021,169150.0,6983.0,91926.0,1826.0
2/22/2021,169150.0,6983.0,91926.0,1826.0
2/23/2021,169584.0,7007.0,92573.0,1826.0
2/24/2021,169866.0,7033.0,92859.0,1840.0
2/25/2021,170289.0,7044.0,93252.0,1840.0
2/26/2021,170595.0,7057.0,93679.0,1850.0
2/27/2021,170907.0,7065.0,93975.0,1859.0
2/28/2021,171140.0,7076.0,94230.0,1860.0
3/1/2021,171140.0,7076.0,94230.0,1860.0
3/2/2021,171462.0,7111.0,94707.0,1867.0
3/3/2021,171836.0,7131.0,94936.0,1871.0
3/4/2021,172288.0,7144.0,95222.0,1876.0
3/5/2021,172587.0,7164.0,95524.0,1876.0
3/6/2021,172827.0,7179.0,95808.0,1876.0
3/7/2021,172931.0,7184.0,96017.0,1879.0
